"Skip to the beginning of the images gallery","Przejdź do początku galerii zdjęć"
"Skip to the end of the images gallery","Przejdź do końca galerii zdjęć"
"The store will not work correctly when cookies are disabled.","Sklep nie będzie działał poprawnie bez włączonych plików cookies."
"Be the first to review this product","Oceń ten produkt jako pierwszy"
"Add to Cart","Dodaj do koszyka"
"Add to Wish List","Dodaj do listy życzeń"
"Add to Compare","Porównaj"
"Compare Products","Porównaj produkty"
"Qty","Ilość"
"Availability","Dostępność"
"In stock","W magazynie"
"Out of stock","Brak w magazynie"
"Details","Szczegóły"
"Description","Opis"
"More Information","Dane techniczne"
"Additional Information","Dane techniczne"
"Reviews","Opinie"
"SKU","SKU"
"Write Your Own Review","Napisz własną opinię"
"Submit Review","Wyślij opinię"
"Nickname","Pseudonim"
"Summary","Podsumowanie"
"Review","Opinia"
"You're reviewing:","Oceniasz:"
"How do you rate this product?","Jak oceniasz ten produkt?"
"Required Fields","Pola wymagane"
"Learn More","Dowiedz się więcej"
"We can't find products matching the selection.","Nie znaleziono produktów spełniających kryteria."
"Search entire store here...","Szukaj w sklepie..."
"Search","Szukaj"
"Advanced Search","Wyszukiwanie zaawansowane"
"My Cart","Koszyk"
"My Account","Moje konto"
"Sign In","Zaloguj się"
"Create an Account","Utwórz konto"
"Forgot Your Password?","Zapomniałeś hasła?"
"Email Address","Adres e-mail"
"Password","Hasło"
"Please wait...","Proszę czekać..."
"Loading...","Ładowanie..."
"Close","Zamknij"
"Remove","Usuń"
"Update","Aktualizuj"
"Continue Shopping","Kontynuuj zakupy"
"Proceed to Checkout","Przejdź do kasy"
"View and Edit Cart","Pokaż i edytuj koszyk"
"Cart Subtotal","Suma koszyka"
"Subtotal","Suma częściowa"
"Tax","Podatek"
"Grand Total","Suma"
"Excl. Tax","Netto"
"Incl. Tax","Brutto"
"Including Tax","Z podatkiem"
"Excluding Tax","Bez podatku"
"Order Total","Suma zamówienia"
"You have no items in your shopping cart.","Twój koszyk jest pusty."
"You have no items to compare.","Nie masz produktów do porównania."
"You have no items in your wish list.","Twoja lista życzeń jest pusta."
"Item","Pozycja"
"Price","Cena"
"Update Shopping Cart","Aktualizuj koszyk"
"Apply Discount Code","Zastosuj kod rabatowy"
"Enter discount code","Wpisz kod rabatowy"
"Apply","Zastosuj"
"Cancel","Anuluj"
"Shipping","Wysyłka"
"Shipping & Handling","Wysyłka i obsługa"
"Payment Method","Metoda płatności"
"Place Order","Złóż zamówienie"
"Order Summary","Podsumowanie zamówienia"
"Items in Cart","Produkty w koszyku"
"Sort By","Sortuj wg"
"Show","Pokaż"
"per page","na stronę"
"of","z"
"Product Name","Nazwa produktu"
"Relevance","Trafność"
"Position","Pozycja"
"Product","Produkt"
"Subscribe","Subskrybuj"
"Subscribe to our newsletter:","Zapisz się do newslettera:"
"Enter your email address","Wpisz swój adres e-mail"
"required","wymagane"
"This is a required field.","To pole jest wymagane."
"Please enter a valid email address (Ex: johndoe@domain.com).","Proszę wpisać poprawny adres e-mail."
"Minimum length of this field must be equal or greater than %1 symbols.","Minimalna długość tego pola to %1 znaków."
"Home","Strona główna"
"Back","Wstecz"
"Next","Dalej"
"Previous","Poprzedni"
"View Details","Zobacz szczegóły"
"Added to cart","Dodano do koszyka"
"Remove item","Usuń produkt"
"Go to Checkout","Przejdź do kasy"
"Toggle Nav","Menu nawigacji"
"Menu","Menu"
"Account","Konto"
"Newsletter","Newsletter"
"Related Products","Produkty powiązane"
"We found other products you might like!","Znaleźliśmy inne produkty, które mogą Ci się spodobać!"
"Check items to add to the cart or","Zaznacz produkty do dodania do koszyka lub"
"select all","zaznacz wszystkie"
"Add to cart","Dodaj do koszyka"
"More Choices:","Więcej opcji:"
"More from this seller","Więcej od tego sprzedawcy"
"Shipping Methods","Metody wysyłki"
"Free Shipping","Darmowa wysyłka"
"Free","Za darmo"
"Flat Rate","Stawka ryczałtowa"
"Best Value","Najlepsza wartość"
"Fixed","Stała"
"Select a shipping method","Wybierz metodę wysyłki"
"Our products","Nasze produkty"
"View as  %1","Widok %1"
"Grid","Siatka"
"List","Lista"
"Product Comparison","Porównanie produktów"
"Remove Product","Usuń produkt"
"Recently Viewed Products","Ostatnio oglądane produkty"
"New Products","Nowe produkty"
